zones,Region,Area,Population,Density,pop_rate,log_pop,price_psqm_mean_hdb,price_psqm_median_hdb,price_psqm_mean_condo,price_psqm_median_condo,Single_rate,Married_rate,female_male_ratio,15-_rate,15-24_rate,25-54_rate,25-34_rate,35-44_rate,45-54_rate,55-64_rate,65+_rate,Chinese_rate,Malai_rate,Indian_rate,Other_ethnic_rate,Condominiums and Other Apartments,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Landed Properties,Others,total,HDB_rate,condo_rate,Landed Properties_rate,No_Qualification_rate,Secondary_rate,University_rate,working_rate,unemployed_rate,eco_inactive_rate,Buddhism_rate,Islam_rate,Christinaity_rate,No Religion_rate,Hinduism_rate,Sikhism_rate,Below 1000,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 5999,6000 - 6999,7000 - 7999,8000 - 8999,9000 - 9999,10000 - 10999,11000 - 11999,12000 over,Below_1000_rate,Above_10000_rate,1000-10000_rate,Manufacture_rate,Construction_rate,Services_rate,gold_collar_rate,white_collar_rate_cnt_mgt,white_collar_rate_not_cnt_mgt,blue_collar_rate,trans_work_less_15m_rate,trans_work_more_60m_rate,trans_btw_15_60m_rate,public_trans_rate,private_trans_rate,no_trans_need_rate,trans_sch_less_15m_rate,trans_sch_more_60m_rate,trans_sch_btw_15_60m_rate,Owner_rate,tenant_rate,1PER_rate,2PER_rate,3-5_PER_rate,6_PER_rate,Total_hsh_inc,No Working Person_hsh_inc,Below 1000_hsh_inc,1000 - 1999_hsh_inc,2000 - 2999_hsh_inc,3000 - 3999_hsh_inc,4000 - 4999_hsh_inc,5000 - 5999_hsh_inc,6000 - 6999_hsh_inc,7000 - 7999_hsh_inc,8000 - 8999_hsh_inc,9000 - 9999_hsh_inc,10000 - 10999_hsh_inc,11000 - 11999_hsh_inc,12000 - 12999_hsh_inc,13000 - 13999_hsh_inc,14000 - 14999_hsh_inc,15000 - 17499_hsh_inc,17500 - 19999_hsh_inc,20000 over_hsh_inc,no_working_rate_hsh_inc,below_5000_rate_hsh_inc,20000_over_rate_hsh_inc,below_8000_rate_hsh_inc,above_8000_rate_hsh_inc,no_fam_nucleus_rate,one_nuc_one_gen_rate,one_nuc_two+_gen_rate,two+_fam_nucleus_rate,inc_prv_Total,inc_prv_Below 1000,inc_prv_1000 - 1499,inc_prv_1500 - 1999,inc_prv_2000 - 2499,inc_prv_2500 - 2999,inc_prv_3000 - 3999,inc_prv_4000 - 4999,inc_prv_5000 - 5999,inc_prv_6000 - 6999,inc_prv_7000 - 7999,inc_prv_8000 & Over,inc_prv_Below_1000_rate,inc_prv_8000 & Over_rate,inc_prv_1000_7999_rate,hsh_inc_prv_Total,hsh_inc_prv_NoWorkingPerson,hsh_inc_prv_Below1000,hsh_inc_prv_1000-1999,hsh_inc_prv_2000-2999,hsh_inc_prv_3000-3999,hsh_inc_prv_4000-4999,hsh_inc_prv_5000-5999,hsh_inc_prv_6000-6999,hsh_inc_prv_7000-7999,hsh_inc_prv_8000-8999,hsh_inc_prv_9000-9999,hsh_inc_prv_10000&Over,hsh_inc_prv_no_working_rate,hsh_inc_prv_below_2000_rate,hsh_inc_prv_10000_over_rate,HDB_1-Room,HDB_2-Room,HDB_3-Room,HDB_4-Room,HDB_5-Room,HDB_executive,HDB_studio_apt,HDB_Total
ANGMOKIO,North-East,14,174770,12538,0.0447817,5.242466886,5069,5000,12030,12616,0.329516539,0.559160305,1.081123814,0.125241073,0.110805914,0.434924902,0.13026708,0.150020455,0.154637368,0.154871136,0.174156975,0.819877553,0.074726784,0.080963552,0.024432111,11960,12500,61840,44910,22050,0,16430,1240,170930,0.826654186,0.069970163,0.096121219,0.164600551,0.652892562,0.243801653,0.643765903,0.029262087,0.32697201,0.357506361,0.088422392,0.197201018,0.171119593,0.038167939,0.001272265,9.7,12.1,7.9,7.4,6.8,11.5,9.8,7.9,6,4,3.1,2.2,2.6,1.7,8.6,0.095849802,0.127470356,0.777667984,0.100790514,0.055335968,0.835968379,0.149209486,0.488142292,0.338932806,0.47826087,0.165137615,0.078491335,0.755351682,0.590683845,0.238850347,0.102081269,0.432176656,0.063091483,0.504731861,0.873801917,0.123003195,0.166134185,0.239616613,0.511182109,0.083067093,62.6,8.7,2.1,5.4,4.4,3.9,4,3.8,2.9,3.3,2.6,2.3,2.5,1.8,1.6,1.2,1.7,2.2,2,6.1,0.138977636,0.376996805,0.097444089,0.476038339,0.383386581,0.226837061,0.145367412,0.573482428,0.054313099,91070,12288,9085,8986,8850,7268,12491,8186,6040,4185,2724,10967,0.134929175,0.12042385,0.744646975,59705,8467,3136,5549,6055,5236,4565,3959,3357,2911,2442,1891,12137,0.141813918,0.145465204,0.203282807,1318,3506,24237,13682,5654,490,281,49168
BEDOK,East,22,289750,13361,0.0742433,5.462023445,4852,4776,12722,12686,0.320898686,0.574819839,1.055102333,0.132913156,0.122884602,0.435127794,0.134027439,0.147398844,0.153701511,0.154641688,0.15443276,0.720897325,0.151786022,0.086660915,0.040655738,50250,9900,60500,70940,47920,0,44960,2750,287220,0.6589374,0.174952998,0.15653506,0.125647059,0.726117647,0.296,0.637134379,0.025434506,0.337855023,0.299703264,0.181008902,0.220008478,0.158117847,0.041119118,0.004662993,12.2,13.6,12.1,9.7,9.6,17.2,13.4,12.2,9.2,5.4,5.1,4,4.5,2.7,19.4,0.081170991,0.176979375,0.741849634,0.090485695,0.03992016,0.860279441,0.19760479,0.567531603,0.369926813,0.408516301,0.162217659,0.062286105,0.776180698,0.567621586,0.279147235,0.083944037,0.355555556,0.098148148,0.548148148,0.899132321,0.094360087,0.136659436,0.220173536,0.548806941,0.096529284,92.2,10,2.2,7.2,4.1,5.3,5.3,6.2,5.2,3.2,4.4,2.9,2.7,3,3.3,2.6,2,4.2,3.5,15.1,0.10845987,0.328633406,0.163774403,0.419739696,0.473969631,0.193058568,0.14208243,0.610629067,0.054229935,147667,17582,13131,13185,13403,10797,19091,12647,10048,7684,4912,25187,0.119065194,0.170566206,0.7103686,91224,11143,3782,6857,7476,7362,6596,5825,5444,4352,3807,3298,25281,0.122149873,0.116625011,0.277131018,2530,2286,22639,20398,10390,2714,234,61191
BISHAN,Central,8,90700,11897,0.0232403,4.957607287,5624,5630,14350,14619,0.330275229,0.579292267,1.058004111,0.132933866,0.131713271,0.432201509,0.136484687,0.13903684,0.156679982,0.158788282,0.144363071,0.85137817,0.041455347,0.077177508,0.029988975,14940,1150,5320,30680,26590,0,10720,700,90100,0.707436182,0.16581576,0.118978912,0.091042584,0.792951542,0.37298091,0.648754915,0.024901704,0.326343381,0.27785059,0.036697248,0.302752294,0.221494102,0.056356488,0.001310616,3.9,3.7,2.2,2.9,2.4,4.6,4.7,3.8,2.7,2.8,3.1,1.8,1.8,1.6,7.6,0.078787879,0.222222222,0.701010101,0.096969697,0.036363636,0.858585859,0.236363636,0.668686869,0.432323232,0.292929293,0.121848739,0.042016807,0.836134454,0.576923077,0.315789474,0.072874494,0.277456647,0.069364162,0.653179191,0.910071942,0.082733813,0.097122302,0.194244604,0.629496403,0.082733813,27.8,2.6,0.5,1.3,1.1,0.9,1.3,1,1.1,1,1.7,1,0.9,1.4,1.2,1.2,0.9,1.3,1.8,5.5,0.09352518,0.21942446,0.197841727,0.294964029,0.607913669,0.143884892,0.125899281,0.68705036,0.043165468,46623,4283,2967,3239,3487,2966,5914,4651,3832,2892,2405,9987,0.09186453,0.21420758,0.69392789,27457,2855,595,1166,1390,1717,1616,1594,1684,1622,1380,1573,10264,0.10398077,0.06413665,0.373820884,396,5,2357,9359,5716,1660,171,19664
BOONLAY,West,8,30,4,0.0000077,1.477121255,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUKITBATOK,West,11,139270,12513,0.0356855,5.143857576,4473,4420,12058,11866,0.342214821,0.570358035,1.03055678,0.139343076,0.135798003,0.457169729,0.144552163,0.146216177,0.166401389,0.15851541,0.109173781,0.732912119,0.140508329,0.098578403,0.028001149,24870,1460,27460,49090,28450,0,5700,1030,138060,0.771114008,0.18013907,0.041286397,0.1121673,0.733840304,0.282319392,0.629475437,0.034138218,0.336386345,0.338051624,0.126561199,0.199833472,0.17235637,0.055786844,0.001665279,6.1,6.5,5.2,5.8,4.9,8.6,7.6,6.7,4.4,3.5,2.6,2.4,2.5,1.5,7.4,0.080687831,0.150793651,0.76984127,0.12037037,0.062169312,0.804232804,0.171957672,0.560846561,0.388888889,0.41005291,0.124830393,0.090909091,0.785617368,0.578807947,0.263576159,0.080794702,0.321799308,0.051903114,0.626297578,0.938636364,0.056818182,0.118181818,0.195454545,0.609090909,0.081818182,44,4.6,0.6,2.4,2.4,2.6,2.7,2.1,3.1,2.3,2.4,1.8,2,1.8,1.7,1,1.6,2.1,1.4,5.3,0.104545455,0.290909091,0.120454545,0.413636364,0.479545455,0.168181818,0.120454545,0.661363636,0.052272727,75001,7604,6520,6001,7170,5665,10458,7530,5374,3963,2668,12050,0.101385315,0.160664524,0.737976827,44133,3452,1136,2849,3486,3723,3537,3264,3024,2480,2172,1922,13088,0.078218113,0.090295244,0.296558131,385,242,10278,13851,4833,2732,177,32498
BUKITMERAH,Central,14,155840,10871,0.0399312,5.19267894,6410,6121,17639,17647,0.324528302,0.542641509,1.072289157,0.134689922,0.093023256,0.43494832,0.127648579,0.161369509,0.145930233,0.145413437,0.191925065,0.78676848,0.085985626,0.097022587,0.030223306,9540,25330,39520,46290,31640,0,510,1620,154450,0.924441567,0.061767562,0.003302039,0.182926829,0.641463415,0.252845528,0.620377358,0.02490566,0.354716981,0.381132075,0.085283019,0.185660377,0.198490566,0.038490566,0.006792453,8.5,9.2,6.9,6.6,4.4,8.3,7,5.5,4.7,4.2,3,2.1,2.2,1.5,8,0.103406326,0.142335766,0.753041363,0.065693431,0.032846715,0.894160584,0.144768856,0.496350365,0.351581509,0.4756691,0.208695652,0.050931677,0.740372671,0.643902439,0.209756098,0.103658537,0.408510638,0.068085106,0.527659574,0.802536232,0.19384058,0.201086957,0.286231884,0.454710145,0.05615942,55.2,10.8,2.1,6.1,3.6,2.7,2.7,2.1,2.2,2.3,1.6,1.8,1.7,1.4,1.6,1.4,1.7,2.3,1.6,5.4,0.195652174,0.349637681,0.097826087,0.43115942,0.371376812,0.277173913,0.170289855,0.509057971,0.041666667,78447,11884,8178,6569,7040,5438,9560,7610,5964,3820,3152,9232,0.151490815,0.117684551,0.730824633,55627,10311,4142,5324,4495,3767,3679,3602,2918,2553,2342,1809,10685,0.185359628,0.170169162,0.192082981,4731,5777,15965,15369,9477,44,469,51832
BUKITPANJANG,West,9,139030,15467,0.0356240,5.143108523,4183,4109,11691,11930,0.307692308,0.630434783,1.016103748,0.166183643,0.137697038,0.464833534,0.159539125,0.149855093,0.155439316,0.137838411,0.093447374,0.742914689,0.15990505,0.074090059,0.023090203,16200,2540,10360,58330,50580,0,3230,160,141400,0.86145686,0.1145686,0.022842999,0.115168539,0.728464419,0.248127341,0.669732441,0.030100334,0.300167224,0.348662207,0.163043478,0.144648829,0.175585284,0.030936455,0.001672241,5.1,6.5,5.2,6.3,6.5,10.5,8.3,7.2,5.5,3.8,3.4,2.6,2,1,6.1,0.063670412,0.11360799,0.821473159,0.134831461,0.053682896,0.79525593,0.149812734,0.524344569,0.374531835,0.438202247,0.079646018,0.123893805,0.796460177,0.520599251,0.305867665,0.061173533,0.37987013,0.051948052,0.564935065,0.953883495,0.046116505,0.072815534,0.174757282,0.648058252,0.104368932,41.2,2.3,0.5,1.7,2.2,2.3,2.4,2.4,2.9,2.9,2.5,2.4,2.3,1.5,1.8,1.8,1.2,2.2,1.6,4.4,0.055825243,0.279126214,0.106796117,0.419902913,0.526699029,0.101941748,0.128640777,0.708737864,0.063106796,66005,7457,6177,6021,6268,5555,9670,6581,5143,3262,2267,7605,0.11297629,0.115218544,0.771820317,36339,2260,846,2324,3092,3261,3250,3069,2618,2453,2223,1623,9320,0.062192135,0.087234101,0.256473761,223,539,3678,16699,10425,3381,380,35325
BUKITTIMAH,Central,18,74470,4248,0.0190816,4.871981354,6288,6345,15253,15318,0.282571912,0.668358714,1.15406481,0.166930589,0.128397994,0.425178147,0.111111111,0.150435471,0.163631565,0.133808393,0.145684877,0.861420706,0.010205452,0.049013025,0.079360816,34930,130,1030,2760,3610,0,32270,900,75630,0.099563665,0.461853762,0.426682533,0.034220532,0.920152091,0.61026616,0.622673435,0.020304569,0.357021997,0.17428088,0.011844332,0.473773266,0.253807107,0.027072758,0,2.1,1.4,1.2,1.2,0.7,2.1,2,2.9,1.3,1.9,1.6,1.5,2.2,1.1,13.7,0.057065217,0.461956522,0.483695652,0.089673913,0.02173913,0.883152174,0.385869565,0.866847826,0.480978261,0.10326087,0.150724638,0.052173913,0.797101449,0.33423913,0.559782609,0.073369565,0.370860927,0.01986755,0.609271523,0.874476987,0.108786611,0.10041841,0.150627615,0.594142259,0.158995816,23.9,2.9,0.3,0.7,0.4,0.4,0.2,0.3,0.3,0.7,0.7,0.2,0.9,0.4,0.7,0.4,0.5,1.2,1.9,10.6,0.121338912,0.09623431,0.443514644,0.138075314,0.732217573,0.129707113,0.158995816,0.644351464,0.062761506,32557,1875,999,765,1264,1085,2501,2293,2133,1898,1784,15961,0.057591301,0.490247873,0.452191541,20658,2612,344,340,528,569,761,602,625,467,610,561,12639,0.12644012,0.033110659,0.611821086,0,35,441,920,682,380,97,2555
CENTRALWATERCATCHMENT,North,37,10,0,0.0000026,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGI,East,41,2530,62,0.0006483,3.403120521,4564,4545,8674,7983,0.241595442,0.694586895,0.923076923,0.24,0.124,0.452,0.108,0.2,0.144,0.088,0.096,0.4743083,0.28458498,0.185770751,0.055335968,30,0,440,0,10,0,390,1580,2450,0.183673469,0.012244898,0.159183673,0.092638037,0.771779141,0.106748466,0.672364672,0.021082621,0.306552707,0.215384615,0.377207977,0.094586895,0.090598291,0.128774929,0.017663818,,,,,,,,,,,,,,,,,,,0.038135593,0.011016949,0.944915254,0.097457627,0.273728814,0.176271186,0.686440678,0.590673575,0.055267703,0.35492228,0.204603581,0.171355499,0.439897698,0.234404537,0.047258979,0.718336484,0.332904884,0.440874036,0.224935733,0.165809769,0.532133676,7.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,0.262210797,0.156812339,0.539845758,0.041131105,1180,123,103,59,65,59,114,329,157,57,30,83,0.104237288,0.070338983,0.824576271,778,31,25,37,59,84,139,94,60,21,42,38,147,0.039845758,0.079691517,0.188946015,,,,,,,,
CHANGIBAY,East,2,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOACHUKANG,West,6,174330,28513,0.0446690,5.24137213,3861,3850,8375,8313,0.332217013,0.599464166,1.005929738,0.154721401,0.169501924,0.464721959,0.140275531,0.143733616,0.180712812,0.129789726,0.08126499,0.708099117,0.16995526,0.094470575,0.027475049,16400,4180,5920,77040,72640,0,2510,460,179150,0.891878314,0.091543399,0.014010606,0.094980695,0.740540541,0.243243243,0.651038178,0.02545211,0.32283992,0.319490958,0.174815807,0.14735432,0.188211654,0.057602143,0,7.3,7.8,6.3,7.5,6.5,14.5,10.6,8,5.9,5.4,5,2.6,2.2,1.3,6.5,0.075102881,0.102880658,0.824074074,0.150205761,0.056584362,0.775720165,0.125514403,0.530864198,0.405349794,0.432098765,0.087184874,0.133403361,0.778361345,0.61277034,0.23069001,0.067971164,0.348668281,0.05811138,0.595641646,0.963488844,0.030425963,0.056795132,0.152129817,0.681541582,0.109533469,49.3,2.4,0.6,2,3.1,2.9,2.8,3,2.8,2.6,3.3,3.2,2.5,2.3,1.6,2.1,2,3.7,2,4.3,0.048681542,0.292089249,0.087221095,0.401622718,0.547667343,0.09127789,0.101419878,0.732251521,0.073022312,87543,8586,6920,7293,8085,7315,13485,9934,7314,5033,3463,10112,0.098077516,0.11550895,0.786379265,47912,2356,846,2463,3491,4099,4213,3911,3926,3583,3288,2839,12899,0.049173485,0.069064118,0.269222742,355,878,2137,22485,15293,4762,515,46425
CLEMENTI,West,9,91630,9650,0.0234786,4.962037687,5395,5311,13070,13000,0.297111417,0.592847318,1.09775641,0.138273491,0.103459566,0.446032959,0.13227109,0.161082615,0.152679254,0.141874932,0.170359053,0.771497163,0.108577041,0.082933217,0.03699258,14440,2730,28360,26720,12180,0,5850,1330,91610,0.763999563,0.157624713,0.063857657,0.14962963,0.705185185,0.306666667,0.631361761,0.019257221,0.349381018,0.323246217,0.112792297,0.233837689,0.224209078,0.028885832,0.001375516,3.8,3.6,2.4,2.3,2.6,5,4.3,3.6,3.1,3.2,1.7,1.8,1.7,1,6.1,0.082788671,0.191721133,0.732026144,0.089324619,0.043572985,0.8583878,0.196078431,0.62745098,0.431372549,0.355119826,0.14573991,0.049327354,0.804932735,0.596949891,0.263616558,0.078431373,0.42962963,0.014814815,0.555555556,0.893687708,0.096345515,0.172757475,0.262458472,0.50166113,0.063122924,30.1,3.9,0.8,1.9,1.6,1.6,1.7,1.7,1.7,1.2,1.5,1.2,1.1,1,0.8,0.7,0.7,1.7,1.1,4.5,0.129568106,0.3089701,0.149501661,0.405315615,0.475083056,0.23255814,0.159468439,0.564784053,0.043189369,46003,4982,3465,3366,4113,3503,5917,4716,3574,2518,1831,8017,0.108297285,0.174271243,0.717409734,30792,4321,1239,2098,2488,2319,2074,2251,1859,1520,1155,1124,8344,0.140328657,0.108372304,0.270979475,474,716,11947,8593,2915,619,0,25264
