zones,Region,Area,Population,Density,pop_rate,log_pop,price_psqm_mean_hdb,price_psqm_median_hdb,price_psqm_mean_condo,price_psqm_median_condo,Single_rate,Married_rate,female_male_ratio,15-_rate,15-24_rate,25-54_rate,25-34_rate,35-44_rate,45-54_rate,55-64_rate,65+_rate,Chinese_rate,Malai_rate,Indian_rate,Other_ethnic_rate,Condominiums and Other Apartments,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Landed Properties,Others,total,HDB_rate,condo_rate,Landed Properties_rate,No_Qualification_rate,Secondary_rate,University_rate,working_rate,unemployed_rate,eco_inactive_rate,Buddhism_rate,Islam_rate,Christinaity_rate,No Religion_rate,Hinduism_rate,Sikhism_rate,Below 1000,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 5999,6000 - 6999,7000 - 7999,8000 - 8999,9000 - 9999,10000 - 10999,11000 - 11999,12000 over,Below_1000_rate,Above_10000_rate,1000-10000_rate,Manufacture_rate,Construction_rate,Services_rate,gold_collar_rate,white_collar_rate_cnt_mgt,white_collar_rate_not_cnt_mgt,blue_collar_rate,trans_work_less_15m_rate,trans_work_more_60m_rate,trans_btw_15_60m_rate,public_trans_rate,private_trans_rate,no_trans_need_rate,trans_sch_less_15m_rate,trans_sch_more_60m_rate,trans_sch_btw_15_60m_rate,Owner_rate,tenant_rate,1PER_rate,2PER_rate,3-5_PER_rate,6_PER_rate,Total_hsh_inc,No Working Person_hsh_inc,Below 1000_hsh_inc,1000 - 1999_hsh_inc,2000 - 2999_hsh_inc,3000 - 3999_hsh_inc,4000 - 4999_hsh_inc,5000 - 5999_hsh_inc,6000 - 6999_hsh_inc,7000 - 7999_hsh_inc,8000 - 8999_hsh_inc,9000 - 9999_hsh_inc,10000 - 10999_hsh_inc,11000 - 11999_hsh_inc,12000 - 12999_hsh_inc,13000 - 13999_hsh_inc,14000 - 14999_hsh_inc,15000 - 17499_hsh_inc,17500 - 19999_hsh_inc,20000 over_hsh_inc,no_working_rate_hsh_inc,below_5000_rate_hsh_inc,20000_over_rate_hsh_inc,below_8000_rate_hsh_inc,above_8000_rate_hsh_inc,no_fam_nucleus_rate,one_nuc_one_gen_rate,one_nuc_two+_gen_rate,two+_fam_nucleus_rate,inc_prv_Total,inc_prv_Below 1000,inc_prv_1000 - 1499,inc_prv_1500 - 1999,inc_prv_2000 - 2499,inc_prv_2500 - 2999,inc_prv_3000 - 3999,inc_prv_4000 - 4999,inc_prv_5000 - 5999,inc_prv_6000 - 6999,inc_prv_7000 - 7999,inc_prv_8000 & Over,inc_prv_Below_1000_rate,inc_prv_8000 & Over_rate,inc_prv_1000_7999_rate,hsh_inc_prv_Total,hsh_inc_prv_NoWorkingPerson,hsh_inc_prv_Below1000,hsh_inc_prv_1000-1999,hsh_inc_prv_2000-2999,hsh_inc_prv_3000-3999,hsh_inc_prv_4000-4999,hsh_inc_prv_5000-5999,hsh_inc_prv_6000-6999,hsh_inc_prv_7000-7999,hsh_inc_prv_8000-8999,hsh_inc_prv_9000-9999,hsh_inc_prv_10000&Over,hsh_inc_prv_no_working_rate,hsh_inc_prv_below_2000_rate,hsh_inc_prv_10000_over_rate,HDB_1-Room,HDB_2-Room,HDB_3-Room,HDB_4-Room,HDB_5-Room,HDB_executive,HDB_studio_apt,HDB_Total
DOWNTOWNCORE,Central,4,3720,857,0.0009532,3.57054294,6870,6363,23217,23026,0.354498947,0.540475474,1.114457831,0.085470085,0.062678063,0.515669516,0.156695157,0.193732194,0.165242165,0.136752137,0.199430199,0.798387097,0.010752688,0.086021505,0.10483871,1150,0,1110,970,10,0,0,240,3480,0.600574713,0.33045977,0,0.176224227,0.665592784,0.325386598,0.592837797,0.015046645,0.392115558,0.407463136,0.036111947,0.179656937,0.209449293,0.024375564,0.009930785,,,,,,,,,,,,,,,,,,,0.055329949,0.016751269,0.927918782,0.193401015,0.614720812,0.421319797,0.361928934,0.466702184,0.006925946,0.526904635,0.478663239,0.174807198,0.261182519,0.28045977,0.032183908,0.689655172,0.713785864,0.243526942,0.289013296,0.230930721,0.417074878,0.062281316,,,,,,,,,,,,,,,,,,,,,,,,,,0.372988104,0.126662001,0.844646606,0.052484255,1970,223,170,187,95,111,257,188,125,147,72,395,0.11319797,0.200507614,0.686294416,1429,198,40,112,110,98,85,103,110,95,84,47,346,0.138558432,0.10636809,0.242127362,2075,1316,4739,3529,903,9,0,12571
GEYLANG,Central,10,116960,12129,0.0299689,5.06803736,5259,5098,13530,13945,0.322510823,0.553030303,1.018634622,0.126736261,0.114399103,0.444827884,0.141230265,0.150720387,0.152877232,0.155120352,0.158916401,0.752842609,0.130631786,0.084637086,0.031888518,18150,10160,30310,32370,16210,0,6530,2110,115840,0.768732735,0.15668163,0.056370856,0.161556604,0.689858491,0.251179245,0.664502165,0.024891775,0.310606061,0.348484848,0.155844156,0.16017316,0.195887446,0.035714286,0.005411255,6.5,5.9,4.4,5.3,3.5,7.8,5.7,4.4,3.5,2.4,2.4,2,1.5,1,4.9,0.105863192,0.120521173,0.770358306,0.091205212,0.066775244,0.835504886,0.14495114,0.509771987,0.364820847,0.459283388,0.210169492,0.052542373,0.737288136,0.616013072,0.196078431,0.125816993,0.340659341,0.06043956,0.598901099,0.848,0.141333333,0.173333333,0.232,0.512,0.082666667,37.5,4.9,1.2,2.7,2.8,2.7,2.3,1.9,2,1.5,2.2,1.4,1.9,1.1,0.7,0.7,1,2,1.2,3.3,0.130666667,0.362666667,0.088,0.456,0.413333333,0.258666667,0.141333333,0.557333333,0.042666667,61514,8518,6710,6324,5824,5246,8376,5592,4027,2546,1929,6422,0.138472543,0.104398999,0.757128459,40285,6097,2425,3980,3774,3563,3103,2760,2352,1781,1424,1146,7881,0.151346655,0.158992181,0.195631128,1044,3214,11705,9607,3591,830,239,30230
HOUGANG,North-East,14,222310,15960,0.0569630,5.346958999,4461,4422,11501,11155,0.339653304,0.575839653,1.034857195,0.131121076,0.135874439,0.446143498,0.145695067,0.139910314,0.160538117,0.15941704,0.127443946,0.817290392,0.079390068,0.081144297,0.022175243,24370,4380,26310,86420,54880,0,22450,4040,222850,0.771774736,0.109356069,0.100740408,0.137028015,0.699756395,0.243605359,0.654387866,0.02383532,0.322318527,0.387323944,0.086673889,0.190682557,0.189599133,0.037378115,0.000541712,10.1,10.8,8.2,10.4,7.7,17,11.8,11.1,7.4,5,4.1,2.8,3.2,1.9,9.2,0.083609272,0.118377483,0.79718543,0.101821192,0.062086093,0.82781457,0.149006623,0.518211921,0.369205298,0.448675497,0.140425532,0.069787234,0.789787234,0.587406794,0.26014913,0.085335543,0.344110855,0.092378753,0.565819861,0.940902022,0.052877138,0.090202177,0.188180404,0.622083981,0.097978227,64.3,5.4,1.4,3.1,4.3,4.4,4.1,3.6,4.2,3.7,3.8,2.8,2.7,2.3,2.3,1.9,1.3,3.1,2.8,7.2,0.083981337,0.32503888,0.111975117,0.447900467,0.469673406,0.132192846,0.116640747,0.684292379,0.066874028,110594,13476,10904,10694,11210,9084,15528,10729,7496,5252,3593,12626,0.121851095,0.114165325,0.763965495,62285,5058,1749,4899,5714,5905,5223,5084,4501,3487,3118,2697,14850,0.081207353,0.106735169,0.238420165,532,917,10318,25238,10844,4310,365,52524
JURONGEAST,West,18,84980,4767,0.0217746,4.929316727,4554,4558,13771,15238,0.317280453,0.590651558,1.012357414,0.133679735,0.123405763,0.447567312,0.14985829,0.146905999,0.150803023,0.15918753,0.13615966,0.707494999,0.161666078,0.107659725,0.023179198,6810,2140,18540,28180,28440,0,0,480,84590,0.9138196,0.08050597,0,0.150621118,0.709627329,0.242236025,0.652974504,0.026912181,0.320113314,0.247875354,0.195467422,0.134560907,0.186968839,0.066572238,0.007082153,4.3,4.1,3.3,3.6,3.8,5.2,5.4,3.6,2.8,2.2,1.7,1,1.2,0.5,3.4,0.093275488,0.110629067,0.796095445,0.143167028,0.045553145,0.796095445,0.123644252,0.496746204,0.373101952,0.470715835,0.144444444,0.071111111,0.784444444,0.605664488,0.226579521,0.080610022,0.362416107,0.040268456,0.597315436,0.952941176,0.047058824,0.129411765,0.192156863,0.584313725,0.098039216,25.5,2.8,0.2,1,2,1.6,1.7,1.5,1.5,1.6,1.1,1.4,1.2,0.9,1.2,0.4,0.5,1.4,0.8,2.6,0.109803922,0.31372549,0.101960784,0.435294118,0.450980392,0.180392157,0.125490196,0.631372549,0.062745098,44946,5206,4025,4044,4476,3948,6734,4389,3415,2237,1634,4838,0.115827882,0.107640279,0.776531838,26292,2470,814,1639,2303,2350,2277,2166,1824,1663,1449,1195,6143,0.093944926,0.093298342,0.233645215,352,418,7006,8188,5925,1871,137,23897
JURONGWEST,West,15,272660,18564,0.0698643,5.43562143,4237,4253,11252,11061,0.304551255,0.620586984,0.985242291,0.164392174,0.134916232,0.475942158,0.151115056,0.168719257,0.156107844,0.132253412,0.092496024,0.697693182,0.178347453,0.099350864,0.024608501,12340,7330,35480,105010,105260,0,4460,440,270320,0.936223735,0.0456496,0.016498964,0.12529663,0.702895112,0.225913621,0.675031901,0.027647809,0.297320289,0.373458103,0.173543173,0.099106763,0.171841769,0.06507869,0.002977456,13.4,13.8,11.6,12.3,11.1,22.8,19.3,13.6,8.7,9.6,5.8,4,3,1.8,7.7,0.084436043,0.078764965,0.835538752,0.187775677,0.064902331,0.731568998,0.122243226,0.481411468,0.359168242,0.478890989,0.149032258,0.092258065,0.758709677,0.562223626,0.233101706,0.070751737,0.429752066,0.044628099,0.525619835,0.933823529,0.0625,0.084558824,0.171568627,0.629901961,0.113970588,81.6,5.6,1.2,4.8,4.2,5.1,5.4,4.6,5.6,6,5.4,5,3.4,4.1,3.2,3.6,1.8,4.2,2.6,6,0.068627451,0.31004902,0.073529412,0.452205882,0.481617647,0.116421569,0.12622549,0.681372549,0.075980392,138273,15601,12625,13057,15217,12885,22082,15387,10327,6763,4099,10231,0.112827522,0.073991307,0.813188403,78083,5400,2157,5174,7286,8217,7557,6606,6526,5553,4520,3653,15434,0.069157179,0.093887274,0.197661463,540,1732,12659,28457,21569,6507,639,72103
KALLANG,Central,9,101210,11038,0.0259333,5.005223425,5917,5661,14934,14583,0.329009434,0.548349057,1.012241622,0.127954523,0.096838536,0.447292311,0.128752369,0.164057046,0.154482896,0.149895283,0.178019348,0.748937852,0.078845964,0.142871258,0.029344926,17490,12520,27030,24900,15330,0,1480,1510,100260,0.795731099,0.174446439,0.01476162,0.172413793,0.674329502,0.284802043,0.653301887,0.029481132,0.317216981,0.340801887,0.089622642,0.179245283,0.212264151,0.064858491,0.012971698,4.3,5.8,3.9,4.8,3.1,7.1,4.8,3.8,3.5,2.1,1.6,1.7,1.3,0.9,6.6,0.077617329,0.158844765,0.761732852,0.07400722,0.048736462,0.868231047,0.182310469,0.5433213,0.36101083,0.444043321,0.206703911,0.040968343,0.752327747,0.624548736,0.218411552,0.102888087,0.331125828,0.039735099,0.629139073,0.805479452,0.189041096,0.221917808,0.252054795,0.460273973,0.063013699,36.5,4.8,1.2,2.8,2.5,2.6,1.8,1.6,2.2,1.6,1.6,1.2,1.6,1.5,1.3,1.1,0.6,1,0.9,4.6,0.131506849,0.342465753,0.126027397,0.446575342,0.421917808,0.293150685,0.150684932,0.515068493,0.04109589,50022,7651,5157,4759,4560,3761,6185,4268,2993,2239,1543,6906,0.152952701,0.138059254,0.708988045,35474,6429,2588,3460,2957,2721,2356,2021,1726,1550,1337,1213,7117,0.181231324,0.170491064,0.20062581,4401,2530,13321,10178,5392,504,38,36364
LIMCHUKANG,North,17,90,5,0.0000231,1.954242509,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDAI,North,12,2120,180,0.0005432,3.326335861,,,8672,7997,0.285933897,0.661798616,1.128712871,0.162790698,0.153488372,0.460465116,0.134883721,0.162790698,0.162790698,0.11627907,0.106976744,0.802816901,0.051643192,0.112676056,0.03286385,1290,0,0,0,0,0,770,90,2150,0,0.6,0.358139535,0.115514334,0.774873524,0.336424958,0.615680246,0.023827825,0.360491929,0.264411991,0.043812452,0.209838586,0.213681783,0.089930822,0,,,,,,,,,,,,,,,,,,,0.200998752,0.031210986,0.760299625,0.323345818,0.712858926,0.389513109,0.232209738,0.18504436,0.06590621,0.747782003,0.29463171,0.571785268,0.031210986,0.287925697,0.080495356,0.631578947,0.871165644,0.100204499,0.134969325,0.098159509,0.593047035,0.171779141,,,,,,,,,,,,,,,,,,,,,,,,,,0.188139059,0.112474438,0.646216769,0.053169734,801,69,53,19,25,25,106,39,64,51,120,230,0.086142322,0.287141074,0.626716604,489,74,0,19,0,13,0,32,13,31,53,6,248,0.151329243,0.038854806,0.507157464,,,,,,,,
MARINAEAST,Central,2,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINASOUTH,Central,2,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINEPARADE,Central,6,48730,7966,0.0124862,4.687796411,6379,6323,15483,15214,0.323119777,0.562674095,1.12741652,0.153448988,0.106361008,0.43535729,0.111524164,0.168525403,0.155307724,0.129698472,0.175134242,0.75148779,0.072029551,0.123332649,0.05315001,17160,3700,6730,5170,5580,0,9480,500,48320,0.438327815,0.35513245,0.196192053,0.1,0.781818182,0.406060606,0.598885794,0.025069638,0.376044568,0.231197772,0.08913649,0.311977716,0.250696379,0.04735376,0.013927577,1.6,1.2,1.4,0.9,1,2.3,1.8,1.6,1.1,1,1,0.7,0.7,0.5,4.8,0.074418605,0.279069767,0.651162791,0.079069767,0.03255814,0.88372093,0.31627907,0.71627907,0.4,0.260465116,0.192307692,0.048076923,0.759615385,0.495327103,0.378504673,0.079439252,0.422535211,0.056338028,0.507042254,0.815789474,0.171052632,0.144736842,0.282894737,0.5,0.065789474,15.2,2.7,0.3,0.7,0.8,0.7,0.6,0.6,0.7,0.4,0.3,0.6,0.4,0.5,0.5,0.3,0.3,0.6,0.5,3.6,0.177631579,0.243421053,0.236842105,0.315789474,0.5,0.210526316,0.177631579,0.552631579,0.059210526,21204,1940,1248,1099,1441,1125,2216,1813,1553,1292,891,6587,0.091492171,0.310648934,0.597906055,15498,3029,525,813,906,910,728,692,677,449,694,403,5671,0.195444573,0.08633372,0.365918183,0,1350,3037,1798,1677,0,0,7862
MUSEUM,Central,1,380,458,0.0000974,2.579783597,,,22883,23333,,,1.105263158,0.175,0.05,0.65,0.15,0.325,0.175,0.125,0,0.594594595,,0.108108108,0.297297297,370,0,0,0,0,0,0,30,400,0,0.925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWTON,Central,2,6920,3345,0.0017731,3.840106094,,,26865,26015,0.28347125,0.639719924,1.174174174,0.168508287,0.095303867,0.464088398,0.10359116,0.179558011,0.180939227,0.129834254,0.142265193,0.703757225,0.00867052,0.112716763,0.174855491,6320,0,0,0,0,0,520,230,7070,0,0.893917963,0.073550212,0.021683376,0.94707391,0.650268128,0.568003395,0.012730745,0.41926586,0.211330363,0.035009548,0.388924252,0.237852748,0.083174199,0.00466794,,,,,,,,,,,,,,,,,,,0.086664176,0.022786702,0.881957415,0.517743743,0.920433321,0.402689578,0.05715353,0.421031587,0.003598561,0.575769692,0.224914805,0.586520257,0.112457402,0.420183486,0,0.580733945,0.551264368,0.383908046,0.203218391,0.222988506,0.486896552,0.086896552,,,,,,,,,,,,,,,,,,,,,,,,,,0.317701149,0.182528736,0.487816092,0.011954023,2677,149,77,57,144,71,203,167,135,148,89,1437,0.05565932,0.53679492,0.40754576,2175,441,28,34,59,72,71,77,102,51,64,25,1152,0.202758621,0.028505747,0.529655172,,,,,,,,
NORTH-EASTERNISLANDS,North-East,43,60,1,0.0000154,1.77815125,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVENA,Central,9,47990,5344,0.0122966,4.68115075,5257,5075,16656,16249,0.327956989,0.594086022,1.066176471,0.155118275,0.104249529,0.450282604,0.117856395,0.172074524,0.160351685,0.131672598,0.158676994,0.809335278,0.043967493,0.08772661,0.058970619,17890,2100,7710,6600,4930,0,7360,1050,47640,0.447942905,0.375524769,0.154492024,0.119883041,0.769005848,0.435672515,0.639784946,0.021505376,0.338709677,0.309139785,0.069892473,0.279569892,0.23655914,0.034946237,0.005376344,1.5,2.1,1.4,1.1,0.9,2.2,1.9,1.6,1.4,0.9,0.6,0.7,0.9,0.6,5.8,0.06302521,0.306722689,0.621848739,0.054621849,0.050420168,0.890756303,0.235294118,0.651260504,0.415966387,0.327731092,0.19650655,0.03930131,0.755458515,0.504201681,0.336134454,0.113445378,0.417721519,0.012658228,0.556962025,0.828025478,0.159235669,0.133757962,0.23566879,0.535031847,0.095541401,15.7,1.9,0.1,0.8,0.7,0.5,0.7,0.9,0.7,0.5,0.5,0.4,0.8,0.3,0.6,0.5,0.2,0.7,0.8,4.3,0.121019108,0.23566879,0.27388535,0.312101911,0.579617834,0.197452229,0.159235669,0.611464968,0.031847134,22673,2262,1689,1545,1677,1369,2491,1836,1705,1159,820,6120,0.099766242,0.26992458,0.630309178,15207,2194,559,1138,1009,1046,815,784,667,636,533,423,5404,0.144275663,0.111593345,0.355362662,2075,1316,4739,3529,903,9,0,12571
ORCHARD,Central,1,920,960,0.0002357,2.963787827,,,27437,26618,,,1.071428571,0.137931034,0.068965517,0.448275862,0.114942529,0.172413793,0.16091954,0.172413793,0.172413793,0.673913043,0.010869565,0.076086957,0.239130435,760,0,0,0,0,0,0,80,840,0,0.904761905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTRAM,Central,1,22080,16082,0.0056576,4.343999069,7963,8083,14331,12857,0.293103448,0.574712644,0.991658943,0.138203816,0.069799907,0.430432759,0.120521173,0.171242438,0.138669148,0.148906468,0.21265705,0.816123188,0.08740942,0.07201087,0.024456522,1780,6430,5420,5130,2200,0,0,480,21440,0.894589552,0.083022388,0,0.195121951,0.68902439,0.268292683,0.672413793,0.011494253,0.310344828,0.33908046,0.109195402,0.166666667,0.235632184,0.034482759,0.011494253,0.9,1.9,0.8,0.7,0.7,1.2,0.9,0.9,0.8,0.3,0.5,0.1,0.4,0.2,1.2,0.076923077,0.153846154,0.752136752,0.05982906,0.017094017,0.923076923,0.145299145,0.52991453,0.384615385,0.452991453,0.330434783,0.034782609,0.634782609,0.547008547,0.128205128,0.256410256,0.428571429,0,0.571428571,0.69047619,0.30952381,0.25,0.30952381,0.404761905,0.035714286,8.4,1.2,0.4,1.1,0.8,0.4,0.4,0.5,0.4,0.3,0.3,0.2,0.4,0.2,0.2,0.1,0,0.3,0.3,0.9,0.142857143,0.428571429,0.107142857,0.511904762,0.345238095,0.392857143,0.154761905,0.428571429,0.023809524,8441,2105,1034,778,777,539,932,555,460,348,143,770,0.249378036,0.091221419,0.659400545,7388,2009,1076,928,557,513,407,312,293,180,154,98,861,0.27192745,0.271250677,0.116540336,2075,1316,4739,3529,903,9,0,12571
PASIRRIS,East,15,139890,9313,0.0358443,5.14578667,4099,4071,9857,9789,0.336683417,0.597152429,1.023772464,0.148790379,0.179834988,0.453782688,0.128024053,0.137603132,0.188155503,0.132359111,0.085232835,0.671313175,0.203159625,0.085209808,0.040317392,27290,1320,810,41080,64390,0,7400,610,142900,0.752974108,0.190972708,0.051784465,0.078662734,0.815142576,0.237954769,0.653266332,0.030988275,0.315745394,0.275544389,0.216917923,0.221105528,0.180904523,0.040201005,0.002512563,7,4.4,4.4,5.7,4.3,9.9,9,6.6,5.5,3.4,3.3,2.9,2.1,1.5,7.9,0.08974359,0.147435897,0.761538462,0.111538462,0.046153846,0.835897436,0.179487179,0.579487179,0.4,0.375641026,0.146082337,0.126162019,0.729083665,0.543589744,0.294871795,0.078205128,0.342857143,0.142857143,0.511428571,0.945812808,0.049261084,0.071428571,0.167487685,0.620689655,0.142857143,40.6,2.2,0.3,1.5,1.3,1.7,1.6,2.7,2.3,2.3,2.2,2.9,2.3,2.2,2.3,1,1.7,2.7,1.7,5.7,0.054187192,0.224137931,0.140394089,0.337438424,0.608374384,0.103448276,0.115763547,0.719211823,0.064039409,65991,5596,4362,5193,5465,5273,9449,7292,5606,4134,2861,10760,0.084799442,0.163052537,0.75214802,36057,1694,449,1416,1992,2667,2832,2931,2971,2567,2350,1825,12364,0.046981169,0.05172366,0.342901517,176,326,491,11641,9379,7460,181,29654
PAYALEBAR,East,12,40,3,0.0000102,1.602059991,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER,West,12,100,8,0.0000256,2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
